Cod_Archivo,Nombres,Anio,Edad,Plataforma,Juego
PT03,Eleonore Jones,2019,20,GC,Speed Kings
PT03,Fairy Miller,2015,30,PC,Uru: Ages Beyond Myst
PT03,Fannye Davis,2015,44,GC,Charlie's Angels
PT03,Franc Thomas,2015,23,XB,Broken Sword: The Sleeping Dragon
PT03,Francina Wilson,2019,32,XB,RoboCop
PT03,Francisca Anderson,2018,42,GBA,Ozzy & Drix
PT03,Genevra Lee,2015,34,XB,Pulse Racer
PT03,Helga Thompson,2018,35,GC,Freestyle Metal X
PT03,Iza Moore,2019,20,GC,Spirits & Spells
PT03,Jeanetta White,2016,41,PC,Post Mortem
PT03,Jeannie Taylor,2017,28,GC,Goblin Commander: Unleash the Horde
PT03,Jerusha Jackson,2016,36,XB,Battle Engine Aquila
PT03,Lisette Smith,2017,19,XB,Judge Dredd: Dredd Vs Death
PT03,Loda Smith,2019,25,XB,V-Rally 3
PT03,Luda Smith,2019,27,PC,Command & Conquer Collection
PT03,Lynda Smith,2015,20,GBA,Dragon Tales: Dragon Adventures
PT03,Marget Johnson,2015,33,PS2,Choro Q
PT03,Mariam Johnson,2016,33,XB,Room Zoom: Race for Impact
PT03,Modena Smith,2018,29,GBA,Serious Sam Advance
PT03,Nanna Williams,2015,24,XB,Steel Battalion: Line of Contact
PT03,Nelie Johnson,2018,33,XB,Carmen Sandiego: The Secret of the Stolen Drums
PT03,Olena Smith,2019,42,PS2,Kuusen II
PT03,Lelar Brown,2019,39,GC,Future Tactics: The Uprising
PT03,Matilde Smith,2016,36,GBA,Thunderbirds
PT03,Simona Johnson,2019,33,XB,Pro Fishing Challenge
PT03,Thora Brown,2016,39,GC,Serious Sam: Next Encounter
PT03,Angelita Garcia,2015,32,XB,Knight's Apprentice: Memorick's Adventures
PT03,Berenice Williams,2019,18,PS2,Kuon
PT03,Dagmar Jones,2016,32,PC,Fallout Trilogy
PT03,Dina Jones,2018,41,GC,Carmen Sandiego: The Secret of the Stolen Drums
PT03,Ema Rodriguez,2019,22,GC,Terminator 3: The Redemption
PT03,Florine Brown,2020,27,PC,Painkiller
PT03,Loraine Miller,2015,43,GBA,Kill.Switch
PT03,Maida Jones,2018,18,XB,Guess the Logos
PT03,Missie Williams,2019,21,XB,Headhunter: Redemption
PT03,Arline Johnson,2015,38,PS2,Malice
PT03,Beatrix Davis,2018,32,XB,Digimon Rumble Arena 2
PT03,Dorathea Johnson,2019,27,GBA,Barbie as the Princess and the Pauper
PT03,Elenor Martinez,2017,25,PS2,Castle Shikigami 2
PT03,Gertha Smith,2019,32,PC,Unreal Tournament 2004
PT03,Lesta Brown,2017,25,PC,Syberia II
PT03,Rebekah Miller,2015,34,GBA,SD Gundam Force
PT03,Almina Miller,2019,30,PC,Colin McRae Rally 2005
PT03,Arlena Williams,2018,37,GC,Samurai Jack: The Shadow of Aku
PT03,Dot Smith,2020,42,XB,Exhibition Volume 6
PT03,Elfie Williams,2017,43,GBA,Dead to Rights
PT03,Ermine Jones,2017,24,PC,Worldwide Soccer Manager 2006
PT03,Francisqui Davis,2016,20,GC,Mission: Impossible - Operation Surma
PT03,Georgeanna Brown,2017,33,GC,Trigger Man
PT03,Glendora Miller,2016,42,PC,Evil Genius
PT03,Leontine Williams,2017,33,GC,Lotus Challenge
PT03,Leva Smith,2019,29,PC,Stronghold 2 Deluxe
PT03,Litha Jones,2018,24,GBA,Spy Hunter / Super Sprint
PT03,Luberta Johnson,2019,29,PS2,Battlefield 2: Modern Combat(JP sales)
PT03,Marianna Miller,2018,29,GC,Jikkyou Powerful Pro Yakyuu 12 Ketteiban
PT03,Parlee Smith,2015,26,PSP,Virtua Tennis: World Tour (jp sales)
PT03,Pearla Smith,2016,29,XB,Cold War
PT03,Sister Smith,2017,43,XB,"Ed, Edd n Eddy: The Mis-Edventures"
PT03,Thresa Wilson,2019,20,XB,Ty the Tasmanian Tiger 3: Night of the Quinkan
PT03,Alene Davis,2017,44,XB,Total Overdose: A Gunslinger's Tale in Mexico
PT03,Alverda Brown,2019,21,PC,GT Legends
PT03,Antonette Jones,2018,30,PC,Falcon 4.0: Allied Force
PT03,Argie Smith,2019,43,XB,ScrapLand
PT03,Arkie Moore,2020,33,PSP,Namco Museum Battle Collection (JP sales)
PT03,Arletta Taylor,2020,26,PS2,Shonen Jump's One Piece: Grand Adventure
PT03,Bea Miller,2015,24,DS,The Professor's Brain Trainer: Logic
PT03,Bettye Davis,2015,36,DS,SBK: Snowboard Kids
PT03,Cappie Johnson,2020,19,XB,Zathura
PT03,Caro Davis,2019,29,PC,Quake 4
PT03,Cloe Jones,2020,44,PC,Indigo Prophecy
PT03,Corene Johnson,2018,27,XB,Iron Phoenix
PT03,Deetta Anderson,2017,40,PC,The Sims: Complete Collection
PT03,Elberta Taylor,2019,21,PC,Sacred Gold
PT03,Ether Smith,2017,40,PSP,Kao Challengers
PT03,Felicie Moore,2019,22,GBA,Nicktoons Collection: Game Boy Advance Video Volume 3
PT03,Frederica Martin,2016,24,GBA,Shonen Jump's Shaman King: Master of Spirits 2
PT03,Hellen Wilson,2015,27,XB,Chicago Enforcer
PT03,Icey Thomas,2018,34,XB,Motocross Mania 3
PT03,Ines Smith,2016,44,XB,Pump It Up: Exceed
PT03,Junia White,2016,18,PC,Heroes of the Pacific
PT03,Laney Miller,2019,26,PC,Starship Troopers
PT03,Lassie Anderson,2016,29,DS,Rainbow Islands Revolution
PT03,Lockie Wilson,2020,35,XB,Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.
PT03,Lossie Williams,2018,39,DS,Elf Bowling 1 & 2
PT03,Lovey Johnson,2019,33,XB,Red Ninja: End of Honor
PT03,Marianita Anderson,2020,35,XB,TMNT: Mutant Melee
PT03,Mattye Brown,2016,30,GBA,Ultimate Puzzle Games
PT03,Rubie Martin,2020,36,DS,Golden Nugget Casino DS
PT03,Milly Thompson,2018,37,XB,Top Gear RPM Tuning
PT03,Pluma Smith,2017,44,PS2,Namco Museum 50th Anniversary (JP sales)
PT03,Ruie Thomas,2017,21,PC,LEGO Star Wars: The Video Game
PT03,Vira Anderson,2020,31,PC,The Incredibles: Rise of the Underminer
PT03,Cleva Johnson,2019,25,DS,LifeSigns: Surgical Unit
PT03,Gennie Smith,2018,24,GC,Kao the Kangaroo Round 2
PT03,Sadye Davis,2017,32,PC,Sniper Elite
PT03,Vennie Jackson,2018,30,DS,Dragon Booster
PT03,Zettie Taylor,2019,18,PS2,Kao the Kangaroo Round 2
PT03,Clevie Brown,2015,41,GBA,Rayman 10th Anniversary
PT03,Ferne Garcia,2016,23,DS,Space Invaders Revolution
PT03,Maebelle Lee,2020,32,PC,Star Wars: Empire at War - Forces of Corruption
PT03,Maxine Thompson,2018,42,PC,ParaWorld
PT03,Pearly Johnson,2019,30,PS2,Pop'n Music 12 Iroha
PT03,Savanah Wilson,2020,19,PS2,BeatMania IIDX 11: IIDX Red
PT03,Savilla Johnson,2019,34,PS2,Spy Hunter: Nowhere To Run
PT03,Valerie Anderson,2015,21,PSP,Rengoku II:  The Stairway To H.E.A.V.E.N.
PT03,Violetta Moore,2017,18,PS2,AMF Xtreme Bowling
PT03,Adelina Wilson,2017,37,PS2,Canvas 2
PT03,Alzina Brown,2019,28,PS2,Memories Off: Sorekara Again
PT03,Annice Jones,2018,42,DS,Xenosaga IÂ·II
PT03,Beda Johnson,2016,27,PS2,Gift: Prism
PT03,Clarabelle Lee,2016,38,DS,Totally Spies! 2: Undercover
PT03,Fleda Johnson,2019,31,PSP,Luxor: The Wrath of Set
PT03,Goldia Lee,2015,20,DS,Mage Knight: Destiny's Soldier
PT03,Laila Garcia,2020,37,PC,Unreal Anthology
PT03,Leala Martin,2019,21,PC,Bejeweled 2 Deluxe
PT03,Lilah Jones,2016,42,X360,Enchanted Arms (JP sales)
PT03,Lyla Martinez,2016,44,PS2,Neo Angelique
PT03,Naoma Thomas,2019,19,PS2,Big Idea's VeggieTales: LarryBoy and the Bad Apple
PT03,Nealy Martin,2020,30,XB,Samurai Shodown V
PT03,Olivine Miller,2018,45,DS,Franklin's Great Adventures
PT03,Rutha White,2020,42,PS2,Rule of Rose
PT03,Sussie Thomas,2017,42,PS2,Pac-Man World Rally
PT03,Theodocia Johnson,2020,32,XB,Commandos: Strike Force
