Cod_Archivo,Nombres,Anio,Edad,Plataforma,Juego
PT02,Harm Lee,2019,21,DS,Elite Forces: Unit 77
PT02,Jamie Thompson,2015,19,PS2,Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 14: CR Shinseiki Evangelion: Saigo no Mono
PT02,Vincenzo Moore,2015,28,Wii,Fast Food Panic
PT02,Welton White,2020,33,Wii,Another Code R: A Journey into Lost Memories
PT02,Adrain Taylor,2017,37,PSP,Zill O'll Infinite Plus
PT02,Arbie Jackson,2020,22,PSP,Dissidia: Final Fantasy Universal Tuning
PT02,Betty Smith,2017,18,DS,Challenge Me: Brain Puzzles
PT02,Bobby Smith,2018,37,DS,Sudoku Ball Detective
PT02,Desmond Smith,2018,39,X360,Steins;Gate
PT02,Domenic Smith,2017,45,PS2,Backyard NFL Football '10
PT02,Duard Johnson,2016,25,DS,World Cup of Pool
PT02,Raul Johnson,2017,19,DS,Imagine: Cheerleader
PT02,Severo Smith,2020,25,DS,Shining Force Feather
PT02,Tobie Williams,2019,28,PC,S.T.A.L.K.E.R.: Call of Pripyat
PT02,Council Johnson,2017,20,DS,Big Bang Mini
PT02,Domenick Smith,2019,35,Wii,Grey's Anatomy: The Video Game
PT02,Darrel Brown,2015,39,Wii,Crazy Chicken Tales
PT02,Graydon Smith,2017,45,DS,Playmobil Knights
PT02,Fredie Johnson,2018,28,DS,I Love Beauty: Hollywood Makeover
PT02,Eliot Brown,2016,23,PC,Need for Speed: Shift
PT02,Hoke Garcia,2019,34,DS,Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kounin: KanKen DS3 Deluxe
PT02,Pauline Williams,2017,43,PS2,Melty Blood: Actress Again
PT02,Tyree Jones,2018,23,PS3,SingStar Mallorca Party
PT02,Arne Jones,2016,25,DS,Jacqueline Wilson's Tracy Beaker: The Game
PT02,Bell Rodriguez,2015,41,Wii,Brave: A Warrior's Tale
PT02,Carlo Brown,2016,43,X360,Brave: A Warrior's Tale
PT02,Hansel Miller,2017,30,PC,The Saboteur
PT02,Jiles Jones,2015,31,Wii,World Championship Athletics
PT02,Leonardo Williams,2015,20,DS,Jumble Madness
PT02,Quentin Johnson,2015,35,PSP,Minna no Sukkiri
PT02,Toby Davis,2020,23,PC,Mirror's Edge
PT02,Verlin Johnson,2016,28,DS,Katekyoo Hitman Reborn! DS Flame Rumble X - Mirai Chou-Bakuhatsu!!
PT02,Winthrop Martinez,2020,40,PSP,Evangelion: Jo
PT02,Domenico Smith,2020,30,Wii,SD Gundam G Generation Wars
PT02,Harrold Brown,2018,18,DS,Dino Pets
PT02,Lucille Miller,2017,20,Wii,Roogoo Twisted Towers
PT02,Ryan Miller,2015,28,DS,Dreamer Series: Babysitter
PT02,Benard Williams,2017,29,DS,Diva Girls: Divas on Ice
PT02,Quinton Smith,2018,19,DS,"Tennis no Oji-Sama: Doubles no Oji-Sama - Girls, Be Gracious!"
PT02,Rodolfo Williams,2020,22,DS,History Great Empires: Rome
PT02,Armando Jones,2016,41,Wii,Coraline
PT02,Delmas Davis,2017,25,DS,Imagine: Party Planner
PT02,Denzil Brown,2017,33,DS,Western Riding Academy
PT02,Luciano Miller,2018,22,DS,My Pet Chimp
PT02,Lyndon Williams,2019,35,PSP,Ikki Tousen: Xross Impact
PT02,Vera Smith,2015,27,PSP,Ys vs. Sora no Kiseki: Alternative Saga
PT02,Taft Jones,2016,27,DS,Nicola Kanshuu: Model * Oshare Audition
PT02,Delphin Johnson,2015,21,DS,Legend of Kay
PT02,Rodger Miller,2016,34,PC,Blur
PT02,Woodrow Smith,2019,36,DS,Chuck E. Cheese's Playhouse
PT02,Burnice Smith,2020,29,PC,A New Beginning
PT02,Giovanni Smith,2018,41,Wii,Naruto Shippuden: Gekito Ninja Taisen! Special
PT02,Americo Wilson,2017,34,Wii,Chevrolet Camaro: Wild Ride
PT02,Ardell Davis,2015,30,PSP,Hisshou Pachinko*Pachi-Slot Kouryaku Series Portable Vol. 1: Shinseiki Evangelion - Tamashii no Kiseki
PT02,Delmus Brown,2020,41,DS,Busy Scissors
PT02,Gilmer Jones,2019,25,DS,Dreamer Series: Zoo Keeper
PT02,Lucio Smith,2018,35,PSP,Hagane no Renkinjutsushi - Fullmetal Alchemist: Yakusoku no Hi e
PT02,Mariano Moore,2018,29,PSP,Power Pro Success Legends
PT02,Ogden Taylor,2018,22,Wii,Pheasants Forever Wingshooter
PT02,Oland Miller,2017,31,Wii,Ivy the Kiwi?
PT02,Prentiss Davis,2017,20,PC,Create
PT02,Samie Johnson,2017,19,Wii,Rooms: The Main Building
PT02,Hadley Davis,2018,42,DS,Satisfashion
PT02,Francesco Jones,2018,30,DS,Match 3 Madness
PT02,Toivo Johnson,2016,28,PSP,Starry ? Sky: In Summer
PT02,Robley Anderson,2016,32,DS,Imagine: Resort Owner
PT02,Verle Taylor,2020,18,PC,pro evolution soccer 2011
PT02,Farrell Smith,2015,39,Wii,Dance Sensation!
PT02,Nathanial Moore,2018,21,DS,Quiz! Hexagon II
PT02,Reyes Martin,2015,27,X360,Call of Duty: The War Collection
PT02,Eleanor Wilson,2019,36,PS2,Syphon Filter: Logan's Shadow
PT02,Emmanuel Thomas,2015,32,DS,Katekyoo Hitman Reborn! DS Fate of Heat III - Yuki no Shugosha Raishuu!
PT02,Esker Smith,2016,43,DS,Gormiti: The Lords of Nature!
PT02,Florentino White,2016,21,DS,Katekyoo Hitman Reborn! DS Flame Rumble XX - Kessen! Shin 6 Chouka
PT02,Gaetano Miller,2017,40,DS,The Mysterious Case of Dr. Jekyll and Mr. Hyde
PT02,Levie Anderson,2019,19,Wii,Kid Fit Island Resort
PT02,Guido Wilson,2018,18,PS2,The Lord of the Rings: Aragorn's Quest
PT02,Aurelio Williams,2015,44,PC,F1 2010
PT02,Curtiss Johnson,2020,33,PSP,Dream C Club Portable
PT02,Othel Anderson,2017,43,Wii,Sled Shred featuring the Jamaican Bobsled Team
PT02,Santo Brown,2016,19,PSP,Tokyo Mono Harashi: Karasu no Mori Gakuen Kitan
PT02,Harrell Martin,2019,41,DS,Jewel Quest IV: Heritage
PT02,Lenwood Thompson,2019,21,X360,Motion Explosion!
PT02,Leopoldo Smith,2020,45,Wii,Santa Claus Is Comin' to Town!
PT02,Dante Thomas,2015,21,DS,Paws & Claws: Marine Rescue
PT02,Ann Anderson,2015,21,PSP,Pop'n Music Portable 2
PT02,Halley Johnson,2019,28,DS,Max & the Magic Marker
PT02,Reino Smith,2016,34,PC,The Book of Unwritten Tales: The Critter Chronicles
PT02,Carmelo Davis,2017,34,PS3,Order Up!!
PT02,Wyman Jackson,2019,32,PSP,Growlanser IV: Over Reloaded
PT02,Silvio Taylor,2015,22,PC,Age of Empires Online
PT02,Colie Brown,2015,27,DS,Meitantei Conan: Aoki Houseki no Rinbukyoku
PT02,Alfonse Garcia,2016,29,PSP,Mega Minis Volume 3
PT02,Aldo Lee,2020,32,PSP,Unchained Blades
PT02,Amerigo Thompson,2018,32,PSP,Rurouni Kenshin: Meiji Kenkaku Romantan Saisen
PT02,Enrico Johnson,2018,38,X360,Generator Rex: Agent of Providence
PT02,Gasper Wilson,2019,39,DS,Atari's Greatest Hits: Volume 2
PT02,Attilio Johnson,2015,45,PC,The Next BIG Thing
PT02,Woodroe Anderson,2018,41,X360,Monkey Island: Special Edition Collection
PT02,Nunzio Moore,2016,19,DS,Paws & Claws: Pampered Pets 2
PT02,Burnell Wilson,2019,44,X360,MotoGP 10/11
PT02,Erling Brown,2015,33,X360,DreamWorks Super Star Kartz
PT02,Gilberto Jones,2020,31,X360,Akai Katana Shin
PT02,Glendon Johnson,2020,36,3DS,Nicola Kanshuu: Model * Oshare Audition 2
PT02,Larue Lee,2016,27,X360,Champion Jockey: G1 Jockey & Gallop Racer
PT02,Masao Johnson,2018,37,DS,X-Men: Destiny
PT02,Nevin Lee,2018,40,PC,Dead Rising 2: Off the Record
PT02,Armin Garcia,2017,32,PS2,Pro Evolution Soccer 2012
PT02,Tyrus Martin,2020,31,PC,EverQuest II: Destiny of Velious
PT02,Kendall Jones,2017,30,PS3,ICO
PT02,Garold Martinez,2015,35,DS,Eigo de Tabisuru: Little Charo
PT02,Gennaro Thomas,2016,26,Wii,My Fitness Coach: Club
PT02,Cosmo Martin,2018,28,Wii,Centipede: Infestation
PT02,Luigi Miller,2015,39,Wii,Back to the Future: The Game
PT02,Hymen White,2019,24,DS,Jewel Legends: Tree of Life
PT02,Donato Thomas,2015,19,DS,Petz Bunnyz Bunch
PT02,Melbourne Johnson,2020,26,Wii,Gem Smashers
PT02,Merwin Smith,2018,39,X360,Warriors: Legends of Troy
PT02,Winton Thompson,2018,32,PSP,Vitamin X to Z
PT02,Gino Rodriguez,2020,28,DS,Pucca Power Up
PT02,Glenwood White,2019,39,DS,Noddy in Toyland
PT02,Geno Wilson,2020,34,PS3,Mayhem 3D
PT02,Glynn Lee,2016,33,PSP,Senritsu no Stratus
PT02,Nello Jones,2017,36,PSP,Toaru Kagaku no Chou Denjihou
PT02,Durwood Taylor,2018,36,PC,Ski Region Simulator
PT02,Gilmore Moore,2016,29,3DS,Yuugen Gaisha Brave Company
PT02,Saverio Brown,2015,36,3DS,Ken to Mahou to Gakuen Mono. 3D
PT02,Garth Williams,2015,32,3DS,Pro Yakyuu Famista 2011
